Threshold_Years,FP_Cost,FN_Cost,Cost_Ratio,Best_Thresh,FP,FN,FP_Rate,FN_Rate,Error_Ratio_FP_to_FN
5,35,65,0.5384615384615384,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,34,66,0.5151515151515151,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,33,67,0.4925373134328358,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,32,68,0.47058823529411764,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,31,69,0.4492753623188406,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,30,70,0.42857142857142855,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,29,71,0.4084507042253521,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,28,72,0.3888888888888889,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,27,73,0.3698630136986301,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,26,74,0.35135135135135137,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,25,75,0.3333333333333333,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,24,76,0.3157894736842105,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,23,77,0.2987012987012987,0.22,217,31,0.4392712550607287,0.04640718562874251,7.0
5,22,78,0.28205128205128205,0.22,217,31,0.4392712550607287,0.04640718562874251,7.0
5,21,79,0.26582278481012656,0.22,217,31,0.4392712550607287,0.04640718562874251,7.0
5,20,80,0.25,0.22,217,31,0.4392712550607287,0.04640718562874251,7.0
5,19,81,0.2345679012345679,0.14,284,15,0.5748987854251012,0.02245508982035928,18.933333333333334
5,18,82,0.21951219512195122,0.14,284,15,0.5748987854251012,0.02245508982035928,18.933333333333334
5,17,83,0.20481927710843373,0.14,284,15,0.5748987854251012,0.02245508982035928,18.933333333333334
5,16,84,0.19047619047619047,0.14,284,15,0.5748987854251012,0.02245508982035928,18.933333333333334
5,15,85,0.17647058823529413,0.14,284,15,0.5748987854251012,0.02245508982035928,18.933333333333334
5,14,86,0.16279069767441862,0.08,336,6,0.680161943319838,0.008982035928143712,56.0
5,13,87,0.14942528735632185,0.08,336,6,0.680161943319838,0.008982035928143712,56.0
5,12,88,0.13636363636363635,0.08,336,6,0.680161943319838,0.008982035928143712,56.0
5,11,89,0.12359550561797752,0.08,336,6,0.680161943319838,0.008982035928143712,56.0
5,10,90,0.1111111111111111,0.08,336,6,0.680161943319838,0.008982035928143712,56.0
5,9,91,0.0989010989010989,0.08,336,6,0.680161943319838,0.008982035928143712,56.0
5,8,92,0.08695652173913043,0.08,336,6,0.680161943319838,0.008982035928143712,56.0
5,7,93,0.07526881720430108,0.08,336,6,0.680161943319838,0.008982035928143712,56.0
5,6,94,0.06382978723404255,0.08,336,6,0.680161943319838,0.008982035928143712,56.0
5,5,95,0.05263157894736842,0.06999999999999999,354,5,0.7165991902834008,0.0074850299401197605,70.8
5,4,96,0.041666666666666664,0.06999999999999999,354,5,0.7165991902834008,0.0074850299401197605,70.8
5,3,97,0.030927835051546393,0.01,494,0,1.0,0.0,inf
5,2,98,0.02040816326530612,0.01,494,0,1.0,0.0,inf
5,1,99,0.010101010101010102,0.01,494,0,1.0,0.0,inf
5,0,100,0.0,0.01,494,0,1.0,0.0,inf
6,100,0,inf,0.92,0,443,0.0,0.6857585139318886,0.0
6,99,1,99.0,0.92,0,443,0.0,0.6857585139318886,0.0
6,98,2,49.0,0.92,0,443,0.0,0.6857585139318886,0.0
6,97,3,32.333333333333336,0.92,0,443,0.0,0.6857585139318886,0.0
6,96,4,24.0,0.92,0,443,0.0,0.6857585139318886,0.0
6,95,5,19.0,0.9,1,424,0.0018796992481203006,0.6563467492260062,0.0023584905660377358
6,94,6,15.666666666666666,0.88,2,407,0.0037593984962406013,0.6300309597523219,0.004914004914004914
6,93,7,13.285714285714286,0.81,7,336,0.013157894736842105,0.5201238390092879,0.020833333333333332
6,92,8,11.5,0.81,7,336,0.013157894736842105,0.5201238390092879,0.020833333333333332
6,91,9,10.11111111111111,0.81,7,336,0.013157894736842105,0.5201238390092879,0.020833333333333332
6,90,10,9.0,0.81,7,336,0.013157894736842105,0.5201238390092879,0.020833333333333332
6,89,11,8.090909090909092,0.81,7,336,0.013157894736842105,0.5201238390092879,0.020833333333333332
6,88,12,7.333333333333333,0.81,7,336,0.013157894736842105,0.5201238390092879,0.020833333333333332
6,87,13,6.6923076923076925,0.81,7,336,0.013157894736842105,0.5201238390092879,0.020833333333333332
6,86,14,6.142857142857143,0.81,7,336,0.013157894736842105,0.5201238390092879,0.020833333333333332
6,85,15,5.666666666666667,0.81,7,336,0.013157894736842105,0.5201238390092879,0.020833333333333332
6,84,16,5.25,0.6900000000000001,22,255,0.041353383458646614,0.39473684210526316,0.08627450980392157
6,83,17,4.882352941176471,0.6900000000000001,22,255,0.041353383458646614,0.39473684210526316,0.08627450980392157
6,82,18,4.555555555555555,0.6900000000000001,22,255,0.041353383458646614,0.39473684210526316,0.08627450980392157
6,81,19,4.2631578947368425,0.6900000000000001,22,255,0.041353383458646614,0.39473684210526316,0.08627450980392157
6,80,20,4.0,0.6900000000000001,22,255,0.041353383458646614,0.39473684210526316,0.08627450980392157
6,79,21,3.761904761904762,0.6900000000000001,22,255,0.041353383458646614,0.39473684210526316,0.08627450980392157
6,78,22,3.5454545454545454,0.6900000000000001,22,255,0.041353383458646614,0.39473684210526316,0.08627450980392157
6,77,23,3.347826086956522,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,76,24,3.1666666666666665,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,75,25,3.0,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,74,26,2.8461538461538463,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,73,27,2.7037037037037037,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,72,28,2.5714285714285716,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,71,29,2.4482758620689653,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,70,30,2.3333333333333335,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,69,31,2.225806451612903,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,68,32,2.125,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,67,33,2.0303030303030303,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,66,34,1.9411764705882353,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,65,35,1.8571428571428572,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,64,36,1.7777777777777777,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,63,37,1.7027027027027026,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,62,38,1.631578947368421,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,61,39,1.564102564102564,0.64,32,220,0.06015037593984962,0.34055727554179566,0.14545454545454545
6,60,40,1.5,0.63,36,214,0.06766917293233082,0.33126934984520123,0.16822429906542055
6,59,41,1.4390243902439024,0.55,72,162,0.13533834586466165,0.25077399380804954,0.4444444444444444
6,58,42,1.380952380952381,0.55,72,162,0.13533834586466165,0.25077399380804954,0.4444444444444444
6,57,43,1.3255813953488371,0.54,75,158,0.14097744360902256,0.24458204334365324,0.47468354430379744
6,56,44,1.2727272727272727,0.54,75,158,0.14097744360902256,0.24458204334365324,0.47468354430379744
6,55,45,1.2222222222222223,0.54,75,158,0.14097744360902256,0.24458204334365324,0.47468354430379744
6,54,46,1.173913043478261,0.54,75,158,0.14097744360902256,0.24458204334365324,0.47468354430379744
6,53,47,1.127659574468085,0.54,75,158,0.14097744360902256,0.24458204334365324,0.47468354430379744
